Datum + Uhrzeit,Durchfluss Zähler Fernwärme (m³/h),Durchfluss Wasserzähler TWE (m³/h),Durchfluss m³ Zähler Zirkulation (m³/h)
18.12.2024 19:20,"2,35",0,"0,6"
18.12.2024 19:25,"2,34",0,"0,6"
18.12.2024 19:30,"2,54",0,"0,59"
18.12.2024 19:35,"2,59",0,"0,6"
18.12.2024 19:40,"2,66",0,"0,6"
18.12.2024 19:45,"4,68",0,"0,6"
18.12.2024 19:50,"5,12",0,"0,6"
18.12.2024 19:55,"4,99",0,"0,61"
18.12.2024 20:00,"4,22",0,"0,6"
18.12.2024 20:05,"3,72",0,"0,6"
18.12.2024 20:10,"3,14",0,"0,61"
18.12.2024 20:15,"2,78",0,"0,6"
18.12.2024 20:20,"2,38",0,"0,59"
18.12.2024 20:25,"2,04",0,"0,6"
18.12.2024 20:30,"1,82",0,"0,6"
18.12.2024 20:50,"2,71",0,"0,6"
18.12.2024 20:55,"2,69",0,"0,6"
18.12.2024 21:00,"2,81",0,"0,6"
18.12.2024 21:05,"2,83",0,"0,6"
18.12.2024 21:10,"4,25",0,"0,6"
18.12.2024 21:15,"4,68",0,"0,6"
18.12.2024 21:20,"5,26",0,"0,6"
18.12.2024 21:25,"5,09",0,"0,6"
18.12.2024 21:30,"4,99",0,"0,6"
18.12.2024 21:35,"3,43",0,"0,6"
18.12.2024 21:40,"2,74",0,"0,61"
18.12.2024 21:45,"2,38",0,"0,6"
18.12.2024 21:50,"2,33",0,"0,6"
18.12.2024 21:55,"2,35",0,"0,6"
18.12.2024 22:00,"2,35",0,"0,59"
18.12.2024 22:05,"2,42",0,"0,6"
18.12.2024 22:10,"2,57",0,"0,6"
18.12.2024 22:15,"2,69",0,"0,6"
18.12.2024 22:20,"2,78",0,"0,6"
18.12.2024 22:25,"2,83",0,"0,6"
18.12.2024 22:30,"2,71",0,"0,6"
18.12.2024 22:35,"2,69",0,"0,61"
18.12.2024 22:40,"2,67",0,"0,6"
18.12.2024 22:45,"2,63",0,"0,6"
18.12.2024 22:50,"2,67",0,"0,6"
18.12.2024 22:55,"4,21",0,"0,6"
18.12.2024 23:00,"4,64",0,"0,6"
18.12.2024 23:05,"5,05",0,"0,61"
18.12.2024 23:10,"5,04",0,"0,6"
18.12.2024 23:15,"4,98",0,"0,6"
18.12.2024 23:20,"3,34",0,"0,6"
18.12.2024 23:25,"2,87",0,"0,59"
18.12.2024 23:30,"2,34",0,"0,61"
18.12.2024 23:35,"2,26",0,"0,6"
18.12.2024 23:40,"2,14",0,"0,6"
18.12.2024 23:45,"2,14",0,"0,6"
18.12.2024 23:50,"2,14",0,"0,6"
18.12.2024 23:55,"2,23",0,"0,6"
19.12.2024 00:00,"2,21",0,"0,6"
19.12.2024 00:20,"2,35",0,"0,61"
19.12.2024 00:25,"2,3",0,"0,61"
19.12.2024 00:30,"2,47",0,"0,61"
19.12.2024 00:35,"2,42",0,"0,6"
19.12.2024 00:40,"2,49",0,"0,6"
19.12.2024 00:45,"4,34",0,"0,6"
19.12.2024 00:50,"4,82",0,"0,6"
19.12.2024 00:55,"5,02",0,"0,6"
19.12.2024 01:00,"4,99",0,"0,6"
19.12.2024 01:05,"0,01",0,"0,6"
19.12.2024 01:10,0,0,"0,6"
19.12.2024 01:15,0,0,"0,6"
